"A 행정구역별",H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2
"A 행정구역별",T1 15세이상인구 (천명),T2 경제활동인구 (천명),T3 취업자 (천명),T4 실업자 (천명),T5 비경제활동인구 (천명),T6 경제활동참가율 (％),T7 고용률 (%),T11 15~64세 고용률 (%),T8 실업률 (％)
"3107 평택시",527,352,337,16,174,66.9,63.9,69.5,4.5
"3108 동두천시",81,49,47,3,32,61.0,57.8,66.2,5.1
"3109 안산시",612,385,371,15,226,63.0,60.6,66.4,3.8
"3110 고양시",918,565,549,16,353,61.6,59.8,67.3,2.8
"3111 과천시",66,40,39,1,26,60.7,58.8,65.7,3.1
"3112 구리시",161,105,101,4,56,65.0,62.9,69.1,3.3
"3113 남양주시",621,386,375,11,235,62.2,60.3,68.0,2.9
"3114 오산시",210,143,138,5,67,68.2,66.0,70.6,3.2
"3115 시흥시",482,325,310,16,157,67.5,64.2,68.6,4.8
"3116 군포시",232,145,140,5,87,62.4,60.3,66.9,3.4
"3117 의왕시",136,85,81,3,51,62.3,59.8,66.7,3.9
"3118 하남시",279,180,174,6,99,64.5,62.4,69.3,3.4
"3119 용인시",939,576,553,23,363,61.3,58.8,65.7,4.1
"3120 파주시",431,275,267,7,156,63.8,62.1,69.2,2.6
"3121 이천시",200,138,134,5,62,69.0,66.7,72.8,3.4
"3122 안성시",188,125,122,3,63,66.4,64.9,71.2,2.2
"3123 김포시",421,273,264,9,148,64.8,62.6,69.7,3.4
"3124 화성시",830,563,547,17,267,67.9,65.9,70.2,2.9
"3125 광주시",347,233,222,11,114,67.0,64.0,71.2,4.5
"3126 양주시",239,150,144,6,88,63.0,60.3,68.0,4.2
"3127 포천시",138,89,87,2,49,64.6,63.2,71.3,2.2
"3128 여주시",104,66,65,1,37,64.1,63.2,72.0,1.4
"3135 연천군",34,20,20,0,14,59.2,58.4,67.2,1.2
"3137 가평군",53,34,33,1,19,63.7,62.4,71.3,1.9
"3138 양평군",109,63,63,1,45,58.3,57.5,67.1,1.3
"3201 춘천시",257,163,159,5,93,63.6,61.8,67.6,2.9
"3202 원주시",319,201,193,8,118,63.0,60.5,65.6,4.1
"3203 강릉시",192,119,117,1,73,61.9,61.2,68.6,1.2
"3204 동해시",74,47,47,1,26,64.2,63.3,69.3,1.4
"3205 태백시",34,23,23,0,12,66.6,65.8,71.9,1.2
"3206 속초시",68,43,42,1,25,63.1,61.9,68.9,1.8
"3207 삼척시",57,36,36,0,21,63.1,62.7,65.8,0.7
"3231 홍천군",57,42,41,1,15,73.6,72.4,75.6,1.6
"3232 횡성군",40,28,28,0,12,69.9,69.0,75.5,1.4
"3233 영월군",32,22,22,0,10,70.2,69.5,76.3,1.0
"3234 평창군",35,27,27,0,9,75.5,75.4,81.4,0.1
"3235 정선군",30,21,21,0,8,72.2,71.8,77.2,0.6
"3236 철원군",32,21,21,0,10,67.1,66.9,68.6,0.2
"3237 화천군",16,12,12,0,4,75.9,75.7,75.6,0.3
"3238 양구군",15,11,11,0,4,71.9,71.0,74.8,1.2
"3239 인제군",23,17,17,0,6,73.1,72.3,75.0,1.0
"3240 고성군",25,19,18,0,7,72.9,71.2,73.7,2.3
"3241 양양군",24,17,17,0,7,69.1,68.5,74.4,0.9
"3301 청주시",754,504,491,13,250,66.9,65.2,70.9,2.5
"3302 충주시",190,125,124,1,65,65.7,65.4,71.5,0.5
"3303 제천시",119,79,78,1,40,66.3,65.1,70.9,1.7
"3332 보은군",28,19,19,0,9,68.1,67.7,74.6,0.6
"3333 옥천군",44,31,30,1,13,70.6,68.8,75.0,2.7
"3334 영동군",40,29,28,1,11,71.7,70.3,75.2,1.9
"3335 진천군",83,62,60,2,21,74.7,72.9,77.7,2.5
"3336 괴산군",35,23,23,0,11,67.1,66.8,73.1,0.4
"3337 음성군",93,69,68,2,24,74.1,72.5,77.9,2.2
